model,gph,source,date
DASSAULT Falcon 900,304,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-900EX-EASy-170,2024-02-02
DASSAULT Falcon 900,304,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-900LX-103,2024-02-02
DASSAULT Falcon 200,277,https://jetadvisors.com/jet/falcon-200/,2024-02-02
DASSAULT Falcon 100,240,https://jetadvisors.com/jet/falcon-100/,2024-02-02
DASSAULT Falcon 2000,287,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000-92,2024-02-02
DASSAULT Falcon 2000,284,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000EX-93,2024-02-02
DASSAULT Falcon 2000,284,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000EX-EASy-168,2024-02-02
DASSAULT Falcon 2000,280,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000LX-95,2024-02-02
DASSAULT Falcon 2000,280,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000LXS-183,2024-02-02
DASSAULT Falcon 2000,280,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-2000S-179,2024-02-02
DASSAULT Falcon 6X,419,https://www.libertyjet.com/jet-ownership-costs.aspx?jetType=Falcon%206X,2024-02-02
DASSAULT Falcon 7X,385,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-7X-98,2024-02-02
DASSAULT Falcon 8X,377,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-8X-194,2024-01-26
DASSAULT Falcon 50,356,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-50-96,2024-02-02
