icao	name	source	date
PRM1	390 Premier 1	https://en.wikipedia.org/wiki/Beechcraft_Premier_I	2023-10-03
SF50	Vision SF50	https://en.wikipedia.org/wiki/Cirrus_Vision_SF50	2023-10-03
PC12	Pilatus PC-12	https://www.pilatus-aircraft.com/en/fly/pc-12	2023-10-03
PC24	Pilatus PC-24	https://www.pilatus-aircraft.com/en/fly/pc-24	2024-01-29
WW24	1124 Westwind 1	https://jetadvisors.com/jet/westwind-1	2024-01-29
WW23	Westwind 1123	https://jetadvisors.com/jet/westwind-1123/	2024-01-29
B18T	Westwind 2	https://jetadvisors.com/jet/westwind-2/	2024-01-09
BE40	Beechjet 400	https://jetadvisors.com/jet/beechjet-400	2024-01-09
BE4W	Beechjet 400XT	https://jetadvisors.com/jet/nextant-400xti	2024-01-29
SJ-30	Syberjet SJ-30	https://jetadvisors.com/jet/syberjet-sj30-2/	2024-01-29
SBR1	Sabreliner 60	https://jetadvisors.com/jet/sabreliner-60/	2024-01-29
L29B	Jetstar 2	https://jetadvisors.com/jet/jetstar-ii/	2024-01-29
